"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo","CL.AI",NA,"XI","Región","Region","","Aisén|Aysén|Aysén del General Carlos Ibáñez del Campo"
2,48,"CHL","Chile",2,"Antofagasta","CL.AN",NA,"II","Región","Region","",""
3,48,"CHL","Chile",3,"Araucanía","CL.AR",NA,"IX","Región","Region","","Araucanie|La Araucanía"
4,48,"CHL","Chile",4,"Arica y Parinacota","CL.AP",NA,"XV","Región","Region","",""
5,48,"CHL","Chile",5,"Atacama","CL.AT",NA,"III","Región","Region","",""
6,48,"CHL","Chile",6,"Bío-Bío","CL.BI",NA,"VIII","Región","Region","","Bíobío"
7,48,"CHL","Chile",7,"Coquimbo","CL.CO",NA,"IV","Región","Region","",""
8,48,"CHL","Chile",8,"Libertador General Bernardo O'Higgins","CL.LI",NA,"VI","Región","Region","","Libertador"
9,48,"CHL","Chile",9,"Los Lagos","CL.LL",NA,"X","Región","Region","","Os Lagos"
10,48,"CHL","Chile",10,"Los Ríos","CL.LR",NA,"XIV","Región","Region","",""
11,48,"CHL","Chile",11,"Magallanes y Antártica Chilena","CL.MA",NA,"XII","Región","Region","","Magalhães|Magellan et Antarctique Chilienne|Región de Magallanes y de la Antártica Chilena"
12,48,"CHL","Chile",11,"Magallanes y Antártica Chilena","CL.MA",NA,"XII","Región","Region","","Magalhães|Magellan et Antarctique Chilienne|Región de Magallanes y de la Antártica Chilena"
13,48,"CHL","Chile",12,"Maule","CL.ML",NA,"VII","Región","Region","",""
14,48,"CHL","Chile",13,"Región Metropolitana de Santiago","CL.RM",NA,"RM","Región","Region","","Región Metropolitana|Région Metropolitaine de Santiago|Región Metropolitana|RM"
15,48,"CHL","Chile",14,"Tarapacá","CL.TA",NA,"I","Región","Region","",""
16,48,"CHL","Chile",15,"Valparaíso","CL.VS",NA,"V","Región","Region","","Aconcagua"
