"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",1,"Aisén","CL.AI.AI",NA,"","Provincia","Province","",""
2,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",2,"Capitán Prat","CL.AI.CP",NA,"","Provincia","Province","",""
3,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",3,"Coihaique","CL.AI.CI",NA,"","Provincia","Province","",""
4,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",4,"General Carrera","CL.AI.GC",NA,"","Provincia","Province","",""
5,48,"CHL","Chile",2,"Antofagasta",5,"Antofagasta","CL.AN.AN",NA,"","Provincia","Province","",""
6,48,"CHL","Chile",2,"Antofagasta",6,"El Loa","CL.AN.EL",NA,"","Provincia","Province","",""
7,48,"CHL","Chile",2,"Antofagasta",7,"Tocopilla","CL.AN.TO",NA,"","Provincia","Province","",""
8,48,"CHL","Chile",3,"Araucanía",8,"Cautín","CL.AR.CT",NA,"","Provincia","Province","",""
9,48,"CHL","Chile",3,"Araucanía",9,"Malleco","CL.AR.ML",NA,"","Provincia","Province","",""
10,48,"CHL","Chile",4,"Arica y Parinacota",10,"Arica","CL.TA.AR",NA,"","Provincia","Province","",""
11,48,"CHL","Chile",4,"Arica y Parinacota",11,"Parinacota","CL.TA.PR",NA,"","Provincia","Province","",""
12,48,"CHL","Chile",5,"Atacama",12,"Chañaral","CL.AT.CR",NA,"","Provincia","Province","",""
13,48,"CHL","Chile",5,"Atacama",13,"Copiapó","CL.AT.CO",NA,"","Provincia","Province","",""
14,48,"CHL","Chile",5,"Atacama",14,"Huasco","CL.AT.HU",NA,"","Provincia","Province","",""
15,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble","CL.BI.NU",NA,"","Provincia","Province","",""
16,48,"CHL","Chile",6,"Bío-Bío",16,"Arauco","CL.BI.AU",NA,"","Provincia","Province","",""
17,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío","CL.BI.BI",NA,"","Provincia","Province","",""
