"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",1,"Aisén",1,"Aisen",NA,"","Comuna","Municipality","",""
2,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",1,"Aisén",2,"Cisnes",NA,"","Comuna","Municipality","",""
3,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",1,"Aisén",3,"Guaitecas",NA,"","Comuna","Municipality","",""
4,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",2,"Capitán Prat",4,"Cochrane",NA,"","Comuna","Municipality","",""
5,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",2,"Capitán Prat",5,"O'Higgins",NA,"","Comuna","Municipality","",""
6,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",2,"Capitán Prat",6,"Tortel",NA,"","Comuna","Municipality","",""
7,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",3,"Coihaique",7,"Coihaique",NA,"","Comuna","Municipality","",""
8,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",3,"Coihaique",8,"Lago Verde",NA,"","Comuna","Municipality","",""
9,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",4,"General Carrera",9,"Chile Chico",NA,"","Comuna","Municipality","",""
10,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",4,"General Carrera",10,"Rio Ibanez",NA,"","Comuna","Municipality","",""
11,48,"CHL","Chile",2,"Antofagasta",5,"Antofagasta",11,"Antofagasta",NA,"","Comuna","Municipality","",""
12,48,"CHL","Chile",2,"Antofagasta",5,"Antofagasta",12,"Mejillones",NA,"","Comuna","Municipality","",""
13,48,"CHL","Chile",2,"Antofagasta",5,"Antofagasta",13,"Sierra Gorda",NA,"","Comuna","Municipality","",""
14,48,"CHL","Chile",2,"Antofagasta",5,"Antofagasta",14,"Taltal",NA,"","Comuna","Municipality","",""
15,48,"CHL","Chile",2,"Antofagasta",6,"El Loa",15,"Calama",NA,"","Comuna","Municipality","",""
16,48,"CHL","Chile",2,"Antofagasta",6,"El Loa",16,"Ollague",NA,"","Comuna","Municipality","",""
17,48,"CHL","Chile",2,"Antofagasta",6,"El Loa",17,"San Pedro de Atacama",NA,"","Comuna","Municipality","",""
18,48,"CHL","Chile",2,"Antofagasta",7,"Tocopilla",18,"Maria Elena",NA,"","Comuna","Municipality","",""
19,48,"CHL","Chile",2,"Antofagasta",7,"Tocopilla",19,"Tocopilla",NA,"","Comuna","Municipality","",""
20,48,"CHL","Chile",3,"Araucanía",8,"Cautín",20,"Carahue",NA,"","Comuna","Municipality","",""
21,48,"CHL","Chile",3,"Araucanía",8,"Cautín",21,"Cunco",NA,"","Comuna","Municipality","",""
22,48,"CHL","Chile",3,"Araucanía",8,"Cautín",22,"Curarrehue",NA,"","Comuna","Municipality","",""
23,48,"CHL","Chile",3,"Araucanía",8,"Cautín",23,"Freire",NA,"","Comuna","Municipality","",""
24,48,"CHL","Chile",3,"Araucanía",8,"Cautín",24,"Galvarino",NA,"","Comuna","Municipality","",""
25,48,"CHL","Chile",3,"Araucanía",8,"Cautín",25,"Golbea",NA,"","Comuna","Municipality","",""
26,48,"CHL","Chile",3,"Araucanía",8,"Cautín",26,"Lautaro",NA,"","Comuna","Municipality","",""
27,48,"CHL","Chile",3,"Araucanía",8,"Cautín",27,"Loncoche",NA,"","Comuna","Municipality","",""
28,48,"CHL","Chile",3,"Araucanía",8,"Cautín",28,"Melipeuco",NA,"","Comuna","Municipality","",""
29,48,"CHL","Chile",3,"Araucanía",8,"Cautín",29,"Nueva Imperial",NA,"","Comuna","Municipality","",""
30,48,"CHL","Chile",3,"Araucanía",8,"Cautín",30,"Perquenco",NA,"","Comuna","Municipality","",""
31,48,"CHL","Chile",3,"Araucanía",8,"Cautín",31,"Pitrufquen",NA,"","Comuna","Municipality","",""
32,48,"CHL","Chile",3,"Araucanía",8,"Cautín",32,"Pucon",NA,"","Comuna","Municipality","",""
33,48,"CHL","Chile",3,"Araucanía",8,"Cautín",33,"Saavedra",NA,"","Comuna","Municipality","",""
34,48,"CHL","Chile",3,"Araucanía",8,"Cautín",34,"Temuco",NA,"","Comuna","Municipality","",""
35,48,"CHL","Chile",3,"Araucanía",8,"Cautín",35,"Teodoro Schmidt",NA,"","Comuna","Municipality","",""
36,48,"CHL","Chile",3,"Araucanía",8,"Cautín",36,"Tolten",NA,"","Comuna","Municipality","",""
37,48,"CHL","Chile",3,"Araucanía",8,"Cautín",37,"Vilcun",NA,"","Comuna","Municipality","",""
38,48,"CHL","Chile",3,"Araucanía",8,"Cautín",38,"Villarrica",NA,"","Comuna","Municipality","",""
39,48,"CHL","Chile",3,"Araucanía",9,"Malleco",39,"Angol",NA,"","Comuna","Municipality","",""
40,48,"CHL","Chile",3,"Araucanía",9,"Malleco",40,"Collipulli",NA,"","Comuna","Municipality","",""
41,48,"CHL","Chile",3,"Araucanía",9,"Malleco",41,"Curacautin",NA,"","Comuna","Municipality","",""
42,48,"CHL","Chile",3,"Araucanía",9,"Malleco",42,"Ercilla",NA,"","Comuna","Municipality","",""
43,48,"CHL","Chile",3,"Araucanía",9,"Malleco",43,"Lonquimay",NA,"","Comuna","Municipality","",""
44,48,"CHL","Chile",3,"Araucanía",9,"Malleco",44,"Los Sauces",NA,"","Comuna","Municipality","",""
45,48,"CHL","Chile",3,"Araucanía",9,"Malleco",45,"Lumaco",NA,"","Comuna","Municipality","",""
46,48,"CHL","Chile",3,"Araucanía",9,"Malleco",46,"Puren",NA,"","Comuna","Municipality","",""
47,48,"CHL","Chile",3,"Araucanía",9,"Malleco",47,"Renaico",NA,"","Comuna","Municipality","",""
48,48,"CHL","Chile",3,"Araucanía",9,"Malleco",48,"Traiguen",NA,"","Comuna","Municipality","",""
49,48,"CHL","Chile",3,"Araucanía",9,"Malleco",49,"Victoria",NA,"","Comuna","Municipality","",""
50,48,"CHL","Chile",4,"Arica y Parinacota",10,"Arica",50,"Arica",NA,"","Comuna","Municipality","",""
51,48,"CHL","Chile",4,"Arica y Parinacota",10,"Arica",51,"Camarones",NA,"","Comuna","Municipality","",""
52,48,"CHL","Chile",4,"Arica y Parinacota",11,"Parinacota",52,"General Lagos",NA,"","Comuna","Municipality","",""
53,48,"CHL","Chile",4,"Arica y Parinacota",11,"Parinacota",53,"Putre",NA,"","Comuna","Municipality","",""
54,48,"CHL","Chile",5,"Atacama",12,"Chañaral",54,"Chanaral",NA,"","Comuna","Municipality","",""
55,48,"CHL","Chile",5,"Atacama",12,"Chañaral",55,"Diego de Almagro",NA,"","Comuna","Municipality","",""
56,48,"CHL","Chile",5,"Atacama",13,"Copiapó",56,"Caldera",NA,"","Comuna","Municipality","",""
57,48,"CHL","Chile",5,"Atacama",13,"Copiapó",57,"Copiapo",NA,"","Comuna","Municipality","",""
58,48,"CHL","Chile",5,"Atacama",13,"Copiapó",58,"Tierra Amarilla",NA,"","Comuna","Municipality","",""
59,48,"CHL","Chile",5,"Atacama",14,"Huasco",59,"Alto del Carmen",NA,"","Comuna","Municipality","",""
60,48,"CHL","Chile",5,"Atacama",14,"Huasco",60,"Freirina",NA,"","Comuna","Municipality","",""
61,48,"CHL","Chile",5,"Atacama",14,"Huasco",61,"Huasco",NA,"","Comuna","Municipality","",""
62,48,"CHL","Chile",5,"Atacama",14,"Huasco",62,"Vallenar",NA,"","Comuna","Municipality","",""
63,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",63,"Bulnes",NA,"","Comuna","Municipality","",""
64,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",64,"Chillan",NA,"","Comuna","Municipality","",""
65,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",65,"Cobquecura",NA,"","Comuna","Municipality","",""
66,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",66,"Coelemu",NA,"","Comuna","Municipality","",""
67,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",67,"Coihueco",NA,"","Comuna","Municipality","",""
68,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",68,"El Carmen",NA,"","Comuna","Municipality","",""
69,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",69,"Ninhue",NA,"","Comuna","Municipality","",""
70,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",70,"Niquen",NA,"","Comuna","Municipality","",""
71,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",71,"Pemuco",NA,"","Comuna","Municipality","",""
72,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",72,"Pinto",NA,"","Comuna","Municipality","",""
73,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",73,"Portezuelo",NA,"","Comuna","Municipality","",""
74,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",74,"Quillon",NA,"","Comuna","Municipality","",""
75,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",75,"Quirihue",NA,"","Comuna","Municipality","",""
76,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",76,"Ranquil",NA,"","Comuna","Municipality","",""
77,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",77,"San Carlos",NA,"","Comuna","Municipality","",""
78,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",78,"San Fabian",NA,"","Comuna","Municipality","",""
79,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",79,"San Ignacio",NA,"","Comuna","Municipality","",""
80,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",80,"San Nicolas",NA,"","Comuna","Municipality","",""
81,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",81,"Trehuaco",NA,"","Comuna","Municipality","",""
82,48,"CHL","Chile",6,"Bío-Bío",15,"Ñuble",82,"Yungay",NA,"","Comuna","Municipality","",""
83,48,"CHL","Chile",6,"Bío-Bío",16,"Arauco",83,"Arauco",NA,"","Comuna","Municipality","",""
84,48,"CHL","Chile",6,"Bío-Bío",16,"Arauco",84,"Canete",NA,"","Comuna","Municipality","",""
85,48,"CHL","Chile",6,"Bío-Bío",16,"Arauco",85,"Contulmo",NA,"","Comuna","Municipality","",""
86,48,"CHL","Chile",6,"Bío-Bío",16,"Arauco",86,"Curanilahue",NA,"","Comuna","Municipality","",""
87,48,"CHL","Chile",6,"Bío-Bío",16,"Arauco",87,"Lebu",NA,"","Comuna","Municipality","",""
88,48,"CHL","Chile",6,"Bío-Bío",16,"Arauco",88,"Los Alamos",NA,"","Comuna","Municipality","",""
89,48,"CHL","Chile",6,"Bío-Bío",16,"Arauco",89,"Tirua",NA,"","Comuna","Municipality","",""
90,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",90,"Antuco",NA,"","Comuna","Municipality","",""
91,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",91,"Cabrero",NA,"","Comuna","Municipality","",""
92,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",92,"Laja",NA,"","Comuna","Municipality","",""
93,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",93,"Los Angeles",NA,"","Comuna","Municipality","",""
94,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",94,"Mulchen",NA,"","Comuna","Municipality","",""
95,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",95,"Nacimiento",NA,"","Comuna","Municipality","",""
96,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",96,"Negrete",NA,"","Comuna","Municipality","",""
97,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",97,"Quilago",NA,"","Comuna","Municipality","",""
98,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",98,"Quillego",NA,"","Comuna","Municipality","",""
99,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",99,"Rosendo",NA,"","Comuna","Municipality","",""
100,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",100,"Santa Barbara",NA,"","Comuna","Municipality","",""
101,48,"CHL","Chile",6,"Bío-Bío",17,"Biobío",101,"Tucapel",NA,"","Comuna","Municipality","",""
